Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
232;21101072121;"Journal of Geo-Information Science";journal;"15608999";"Science Press";No;No;0,397;Q3;27;185;544;8302;1027;544;1,82;44,88;36,04;0;103;China;Asiatic Region;"Science Press";"2017-2025";"Computers in Earth Sciences (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Earth and Planetary Sciences"
233;21100310020;"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS";conference and proceedings;"15488403, 15582914";"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";No;No;0,386;-;66;458;1140;13897;1662;1130;1,36;30,34;22,28;0;34;United States;Northern America;"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";"2008-2010, 2015-2024";"Artificial Intelligence; Control and Systems Engineering; Software";"Computer Science; Engineering"
234;21101188421;"Applied AI Letters";journal;"26895595";"John Wiley and Sons Inc";Yes;No;0,382;Q3;11;7;50;304;224;2;2,71;43,43;12,50;0;2;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Artificial Intelligence (Q3)";"Computer Science"
235;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";"Taylor and Francis Ltd.";No;No;0,382;Q3;12;21;43;1503;122;42;2,40;71,57;31,25;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2025";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
236;21101100718;"Proceedings - IEEE Consumer Communications and Networking Conference, CCNC";conference and proceedings;"23319860";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,382;-;14;272;505;4181;840;502;1,66;15,37;17,53;0;53;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2022-2024";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering";"Computer Science; Engineering"
237;24449;"Kybernetika";journal;"00235954, 1805949X";"Academy of Sciences of the Czech Republic";Yes;No;0,378;Q3;43;39;161;1326;255;158;2,47;34,00;27,96;0;2;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2024";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
238;21100291859;"IEEE International Conference on Cloud Computing, CLOUD";conference and proceedings;"21596182, 21596190";"IEEE Computer Society";No;No;0,378;-;41;59;239;2090;430;221;1,67;35,42;24,87;0;3;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Information Systems; Software";"Computer Science"
239;21101042013;"Journal of Educational Data Mining";journal;"21572100";"International Educational Data Mining Society";No;No;0,376;Q3;11;19;37;1043;80;33;2,46;54,89;30,51;0;2;United States;Northern America;"International Educational Data Mining Society";"2019-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Education (Q3)";"Computer Science; Social Sciences"
240;23617;"AI Communications";journal;"09217126";"SAGE Publications Ltd";No;No;0,372;Q3;46;25;69;1053;126;66;1,20;42,12;24,64;0;3;Netherlands;Western Europe;"SAGE Publications Ltd";"1987-2024";"Artificial Intelligence (Q3)";"Computer Science"
241;21101072200;"IET Cyber-systems and Robotics";journal;"26316315";"John Wiley and Sons Inc";Yes;No;0,364;Q3;13;23;92;958;167;89;1,38;41,65;25,29;0;4;United States;Northern America;"John Wiley and Sons Inc";"2019-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Human-Computer Interaction (Q3); Information Systems (Q3)";"Computer Science"
242;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";"SAGE Publications Ltd";No;No;0,364;Q3;89;619;3773;24600;7753;3763;1,71;39,74;35,62;0;150;Netherlands;Western Europe;"SAGE Publications Ltd";"1993-2024";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
243;21101047137;"Springer Proceedings in Advanced Robotics";book series;"25111264, 25111256";"Springer Nature";No;No;0,364;Q3;29;318;460;4540;574;258;1,03;14,28;20,93;0;78;Switzerland;Western Europe;"Springer Nature";"2017-2024";"Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3)";"Computer Science; Engineering; Mathematics"
244;144653;"Artificial Life and Robotics";journal;"14335298";"Springer Japan";No;No;0,355;Q3;25;73;263;1406;327;263;1,18;19,26;17,77;0;14;Japan;Asiatic Region;"Springer Japan";"1997-1998, 2000, 2005-2025";"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
245;24175;"Constraints";journal;"15729354, 13837133";"Springer Netherlands";No;No;0,355;Q3;49;11;39;553;58;35;1,47;50,27;14,29;0;0;Netherlands;Western Europe;"Springer Netherlands";"1996-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Software (Q3)";"Computer Science; Mathematics"
246;21101077110;"Cognitive Computation and Systems";journal;"25177567";"John Wiley and Sons Inc";Yes;No;0,353;Q3;12;13;94;459;198;92;2,00;35,31;22,86;0;2;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2019-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Experimental and Cognitive Psychology (Q3); Cognitive Neuroscience (Q4)";"Computer Science; Neuroscience; Psychology"
247;21100826286;"Fuzzy Information and Engineering";journal;"16168658, 16168666";"Tsinghua University Press";Yes;Yes;0,353;Q3;27;20;81;750;177;81;2,18;37,50;23,40;0;1;United Kingdom;Western Europe;"Tsinghua University Press";"2011, 2014-2024";"Industrial and Manufacturing Engineering (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Logic (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
248;21100307481;"IEEE Haptics Symposium, HAPTICS";conference and proceedings;"23247347, 23247355";"IEEE Computer Society";No;No;0,350;-;28;38;41;829;55;39;1,34;21,82;33,61;0;2;United States;Northern America;"IEEE Computer Society";"2014, 2016, 2018, 2020, 2022, 2024";"Artificial Intelligence; Human-Computer Interaction";"Computer Science"
249;21101200903;"International Journal of Hybrid Intelligent Systems";journal;"18758819, 14485869";"SAGE Publications Ltd";No;No;0,349;Q3;10;12;36;535;76;36;1,92;44,58;15,63;0;5;Netherlands;Western Europe;"SAGE Publications Ltd";"2019-2024";"Artificial Intelligence (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Mathematics"
250;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,349;-;105;1650;3247;55920;5247;3238;1,41;33,89;29,18;0;168;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-1993, 1999-2003, 2005, 2008-2024";"Artificial Intelligence; Software";"Computer Science"
251;27190;"Machine Translation";journal;"09226567, 15730573";"Springer Science and Business Media B.V.";No;No;0,345;Q3;36;0;31;0;89;29;0,00;0,00;0,00;0;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1989-2021";"Linguistics and Language (Q2); Artificial Intelligence (Q3); Software (Q3)";"Computer Science; Social Sciences"
252;24142;"Artificial Life";journal;"10645462, 15309185";"MIT Press Journals";No;No;0,342;Q3;64;35;81;1234;134;73;1,44;35,26;23,88;0;0;United States;Northern America;"MIT Press Journals";"1995, 1997-2024";"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science"
253;4700152208;"International Journal of Humanoid Robotics";journal;"17936942, 02198436";"World Scientific Publishing Co. Pte Ltd";No;No;0,342;Q3;44;32;72;1268;244;70;4,58;39,63;16,67;0;2;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2004-2024";"Artificial Intelligence (Q3); Mechanical Engineering (Q3)";"Computer Science; Engineering"
254;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";"Institute of Advanced Engineering and Science";Yes;No;0,341;Q3;27;482;494;16692;1439;494;2,68;34,63;34,46;0;147;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science";"2018-2025";"Information Systems and Management (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Decision Sciences; Engineering"
255;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";"University of Sistan and Baluchestan";Yes;No;0,340;Q3;39;66;237;2511;351;237;1,55;38,05;20,74;0;4;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2025";"Information Systems and Management (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Decision Sciences; Mathematics"
256;79015;"Kongzhi yu Juece/Control and Decision";journal;"10010920";"Northeast University";No;No;0,338;Q3;54;447;1077;13010;2076;1075;2,00;29,11;34,22;0;56;China;Asiatic Region;"Northeast University";"1997-2025";"Artificial Intelligence (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics"
257;21100255064;"Mendel";journal;"25713701, 18033814";"Brno University of Technology";Yes;No;0,335;Q3;16;5;72;119;90;72;1,31;23,80;38,89;0;0;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2024";"Artificial Intelligence (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
258;21100390407;"Journal of Biomedical Physics and Engineering";journal;"22517200";"Shiraz University of Medical Sciences";Yes;No;0,333;Q3;26;61;218;1972;360;197;1,70;32,33;34,11;0;21;Iran;Middle East;"Shiraz University of Medical Sciences";"2015-2024";"Artificial Intelligence (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Radiation (Q3); Radiological and Ultrasound Technology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Bioengineering (Q4)";"Chemical Engineering; Computer Science; Engineering; Health Professions; Medicine; Physics and Astronomy"
259;21100283373;"IEEE Conference on Computatonal Intelligence and Games, CIG";conference and proceedings;"23254289, 23254270";"IEEE Computer Society";No;No;0,333;-;33;146;395;3542;540;390;1,21;24,26;20,80;0;10;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
260;21100466219;"Journal on Data Semantics";journal;"18612040, 18612032";"Springer International Publishing AG";No;No;0,332;Q3;21;0;19;0;32;17;0,00;0,00;0,00;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"2012-2021";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science"
261;21100832761;"International Journal of Fuzzy Logic and Intelligent Systems";journal;"2093744X, 15982645";"Korean Institute of Intelligent Systems";Yes;No;0,331;Q3;19;40;120;1107;192;120;1,43;27,68;30,68;0;6;South Korea;Asiatic Region;"Korean Institute of Intelligent Systems";"2017-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Logic (Q3); Signal Processing (Q3)";"Computer Science; Mathematics"
262;21100464776;"Statistics, Optimization and Information Computing";journal;"23105070, 2311004X";"International Academic Press";Yes;No;0,321;Q3;22;119;207;4551;280;207;1,36;38,24;26,06;0;19;United States;Northern America;"International Academic Press";"2013-2025";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
263;21101186339;"Advanced Information Systems";journal;"25229052";"National Technical University "Kharkiv Polytechnic Institute"";Yes;No;0,319;Q3;6;50;49;1472;116;49;2,37;29,44;31,88;0;8;Ukraine;Eastern Europe;"National Technical University "Kharkiv Polytechnic Institute"";"2023-2024";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science"
264;19700181256;"Constructivist Foundations";journal;"1782348X";"Vrije Universiteit Brussel";No;No;0,319;Q3;26;42;276;684;133;275;0,50;16,29;20,51;0;2;Belgium;Western Europe;"Vrije Universiteit Brussel";"2010-2024";"Philosophy (Q1); History and Philosophy of Science (Q2); Multidisciplinary (Q2); Artificial Intelligence (Q3); Education (Q3); Cognitive Neuroscience (Q4)";"Arts and Humanities; Computer Science; Multidisciplinary; Neuroscience; Social Sciences"
265;21101101298;"Advanced Control for Applications: Engineering and Industrial Systems";journal;"25780727";"John Wiley and Sons Inc";No;No;0,315;Q3;11;102;64;3003;93;62;1,15;29,44;28,63;0;34;United States;Northern America;"John Wiley and Sons Inc";"2019-2025";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Energy (miscellaneous) (Q3); Modeling and Simulation (Q3); Signal Processing (Q3)";"Computer Science; Energy; Engineering; Mathematics"
266;24326;"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems";journal;"02184885, 17936411";"World Scientific";No;No;0,315;Q3;68;49;198;1971;291;188;1,29;40,22;33,65;0;8;Singapore;Asiatic Region;"World Scientific";"1996-2025";"Applied Mathematics (Q3); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
267;21100853738;"ROBOMECH Journal";journal;"21974225";"Springer International Publishing AG";Yes;No;0,311;Q3;22;18;80;528;137;80;2,13;29,33;9,38;0;4;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2025";"Artificial Intelligence (Q3); Control and Optimization (Q3); Instrumentation (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
268;21101194976;"Journal of Artificial Intelligence and Consciousness";journal;"27050793, 27050785";"World Scientific";No;No;0,306;Q3;9;16;49;459;57;49;0,53;28,69;16,67;0;3;Singapore;Asiatic Region;"World Scientific";"2020-2024";"Artificial Intelligence (Q3); Computer Science (miscellaneous) (Q3)";"Computer Science"
269;21101083166;"Proceedings of the International Symposium on Automation and Robotics in Construction";conference and proceedings;"24135844";"International Association for Automation and Robotics in Construction (IAARC)";No;No;0,302;-;9;176;332;4181;430;326;1,15;23,76;22,24;0;63;Finland;Western Europe;"International Association for Automation and Robotics in Construction (IAARC)";"2021-2024";"Artificial Intelligence; Building and Construction; Civil and Structural Engineering; Computer Science Applications; Control and Systems Engineering; Safety, Risk, Reliability and Quality";"Computer Science; Engineering"
270;21101170609;"Complex Systems Informatics and Modeling Quarterly";journal;"22559922";"Riga Technical University";Yes;Yes;0,301;Q3;11;22;59;950;107;52;1,51;43,18;25,45;0;3;Latvia;Eastern Europe;"Riga Technical University";"2019-2024";"Artificial Intelligence (Q3); Business, Management and Accounting (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Information Systems (Q3)";"Business, Management and Accounting; Computer Science; Engineering"
271;21101134735;"Data Science";journal;"24518484, 24518492";"SAGE Publications Ltd";Yes;No;0,298;Q3;13;5;29;211;54;28;1,59;42,20;37,50;0;0;Netherlands;Western Europe;"SAGE Publications Ltd";"2017, 2019-2024";"Artificial Intelligence (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Information Systems (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
272;21101017116;"Journal of Advances in Information Technology";journal;"17982340";"Engineering and Technology Publishing";Yes;No;0,297;Q3;26;141;299;4811;883;299;2,75;34,12;30,91;0;43;United States;Northern America;"Engineering and Technology Publishing";"2019-2025";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
273;4700152645;"International Journal on Artificial Intelligence Tools";journal;"02182130, 17936349";"World Scientific";No;No;0,296;Q3;41;64;203;2668;383;193;1,83;41,69;31,29;0;12;Singapore;Asiatic Region;"World Scientific";"2005-2025";"Artificial Intelligence (Q3)";"Computer Science"
274;19900193685;"International Journal of Knowledge-Based and Intelligent Engineering Systems";journal;"13272314, 18758827";"SAGE Publications Ltd";No;No;0,295;Q3;25;29;96;1820;171;96;2,09;62,76;39,68;0;12;Netherlands;Western Europe;"SAGE Publications Ltd";"2004-2024";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Software (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
275;21100890645;"International Journal of Advances in Intelligent Informatics";journal;"25483161, 24426571";"Universitas Ahmad Dahlan";Yes;No;0,292;Q3;18;34;99;1313;209;99;1,86;38,62;31,52;0;10;Indonesia;Asiatic Region;"Universitas Ahmad Dahlan";"2015-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Human-Computer Interaction (Q4)";"Computer Science"
276;11300153726;"Intelligent Data Analysis";journal;"1088467X, 15714128";"SAGE Publications Ltd";No;No;0,286;Q3;55;71;254;2977;321;238;1,03;41,93;31,96;0;7;Netherlands;Western Europe;"SAGE Publications Ltd";"1997-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
277;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";Yes;Yes;0,282;Q3;12;38;103;1099;111;103;1,07;28,92;34,83;0;4;Russian Federation;Eastern Europe;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Fluid Flow and Transfer Processes (Q3); Physics and Astronomy (miscellaneous) (Q3); Signal Processing (Q3)";"Chemical Engineering; Computer Science; Mathematics; Physics and Astronomy"
278;21101160591;"Journal of Intelligent Systems and Internet of Things";journal;"2769786X, 26906791";"American Scientific Publishing Group (ASPG)";No;No;0,279;Q3;11;93;55;2488;242;55;4,40;26,75;27,91;0;34;United States;Northern America;"American Scientific Publishing Group (ASPG)";"2023-2025";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science"
279;21101067491;"Journal of Medical Robotics Research";journal;"24249068, 2424905X";"World Scientific";No;No;0,278;Q3;18;20;33;778;44;33;1,20;38,90;17,14;0;2;Singapore;Asiatic Region;"World Scientific";"2016-2025";"Applied Mathematics (Q3); Artificial Intelligence (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q4)";"Computer Science; Engineering; Mathematics"
280;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";"Slovene Society Informatika";Yes;No;0,275;Q3;40;342;383;9264;719;377;1,82;27,09;41,14;0;71;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
281;21100220409;"Proceedings of IEEE Workshop on Advanced Robotics and its Social Impacts, ARSO";conference and proceedings;"21627576, 21627568";"IEEE Computer Society";No;No;0,274;-;21;48;77;1124;94;74;1,33;23,42;33,53;0;9;United States;Northern America;"IEEE Computer Society";"2007-2013, 2015-2019, 2021-2024";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Human-Computer Interaction; Social Sciences (miscellaneous)";"Computer Science; Engineering; Social Sciences"
282;21101274742;"Future Technology";journal;"28320379";"Future Publishing LLC";No;No;0,273;Q4;7;20;35;765;58;34;1,66;38,25;13,33;0;11;United States;Northern America;"Future Publishing LLC";"2022-2025";"Engineering (miscellaneous) (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering"
283;24310;"International Journal of Pattern Recognition and Artificial Intelligence";journal;"02180014, 17936381";"World Scientific Publishing Co. Pte Ltd";No;No;0,273;Q4;64;188;652;7177;911;650;1,50;38,18;38,87;0;24;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1995-2025";"Computer Vision and Pattern Recognition (Q3); Software (Q3); Artificial Intelligence (Q4)";"Computer Science"
284;21101060452;"Vietnam Journal of Computer Science";journal;"21968896";"World Scientific";Yes;Yes;0,272;Q4;11;38;77;1409;127;77;2,02;37,08;25,66;0;6;Singapore;Asiatic Region;"World Scientific";"2019-2025";"Computational Theory and Mathematics (Q3); Computer Science (miscellaneous) (Q3); Computer Vision and Pattern Recognition (Q3); Information Systems (Q3); Software (Q3); Artificial Intelligence (Q4)";"Computer Science"
285;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";"Polish Academy of Sciences";Yes;No;0,271;Q4;50;123;408;4106;538;402;1,33;33,38;19,95;0;42;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2025";"Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Engineering (miscellaneous) (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering; Physics and Astronomy"
286;21101131208;"International Winter Conference on Brain-Computer Interface, BCI";conference and proceedings;"25727672";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,271;-;7;57;109;1207;136;104;1,25;21,18;28,30;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2022-2024";"Artificial Intelligence; Human-Computer Interaction; Signal Processing";"Computer Science"
287;21101196736;"APTISI Transactions on Technopreneurship";journal;"26558807, 26568888";"Pandawan Sejahtera";No;No;0,266;Q4;22;44;98;2159;531;98;5,54;49,07;44,74;0;23;Indonesia;Asiatic Region;"Pandawan Sejahtera";"2021-2024";"Computer Science Applications (Q3); Education (Q3); Management Information Systems (Q3); Artificial Intelligence (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
288;21101021169;"Applied Computer Science";journal;"18953735, 23536977";"Polish Association for Knowledge Promotion";Yes;No;0,259;Q4;10;48;103;1673;165;103;1,76;34,85;33,33;0;15;Poland;Eastern Europe;"Polish Association for Knowledge Promotion";"2019-2024";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Biomedical Engineering (Q4)";"Computer Science; Economics, Econometrics and Finance; Engineering"
289;21101226492;"International Journal of Information Technology and Computer Science";journal;"20749007, 20749015";"Modern Education and Computer Science Press";No;No;0,259;Q4;6;38;60;1351;82;60;1,37;35,55;28,05;0;12;Hong Kong;Asiatic Region;"Modern Education and Computer Science Press";"2022-2024";"Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering"
290;21100291854;"International IEEE/EMBS Conference on Neural Engineering, NER";conference and proceedings;"19483554, 19483546";"IEEE Computer Society";No;No;0,259;-;33;0;429;0;381;425;0,90;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2003, 2013, 2015, 2017, 2019, 2021, 2023";"Artificial Intelligence; Mechanical Engineering";"Computer Science; Engineering"
291;21100788860;"International Journal of Mechanical Engineering and Robotics Research";journal;"22780149";"International Journal of Mechanical Engineering and Robotics Research";No;No;0,258;Q4;23;74;275;2093;431;275;1,53;28,28;17,53;0;27;India;Asiatic Region;"International Journal of Mechanical Engineering and Robotics Research";"2016-2025";"Control and Systems Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering"
292;19700166503;"Journal of Advanced Computational Intelligence and Intelligent Informatics";journal;"13430130, 18838014";"Fuji Technology Press";Yes;No;0,258;Q4;34;134;329;3625;384;329;1,21;27,05;26,80;0;24;Japan;Asiatic Region;"Fuji Technology Press";"1997-2025";"Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4)";"Computer Science"
293;21101089371;"Law, Technology and Humans";journal;"26524074";"Queensland University of Technology";Yes;Yes;0,258;Q4;9;22;73;2245;123;71;1,88;102,05;36,11;0;9;Australia;Pacific Region;"Queensland University of Technology";"2019-2024";"Law (Q2); Biotechnology (Q3); Computer Networks and Communications (Q3); Computer Science (miscellaneous) (Q3); Information Systems and Management (Q3); Social Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Decision Sciences; Social Sciences"
294;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,254;-;69;121;472;3053;431;466;0,85;25,23;24,93;0;21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2024";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science";"Computer Science; Mathematics"
295;24258;"Inteligencia Artificial";journal;"11373601";"Asociacion Espanola de Inteligencia Artificial";Yes;Yes;0,251;Q4;16;27;64;1032;110;64;1,75;38,22;33,87;0;6;Spain;Western Europe;"Asociacion Espanola de Inteligencia Artificial";"2004-2010, 2012-2025";"Artificial Intelligence (Q4); Software (Q4)";"Computer Science"
296;21100211724;"Intelligent Decision Technologies";journal;"18724981, 18758843";"SAGE Publications Ltd";No;No;0,250;Q4;20;204;206;6700;308;196;1,42;32,84;35,32;0;64;Netherlands;Western Europe;"SAGE Publications Ltd";"2007-2024";"Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
297;21101180711;"Rivista Italiana di Informatica e Diritto";journal;"27047318";"Consiglio Nazionale delle Ricerche";Yes;Yes;0,250;Q4;4;62;94;1977;25;89;0,32;31,89;48,08;0;26;Italy;Western Europe;"Consiglio Nazionale delle Ricerche";"2019-2024";"Law (Q2); Computer Science Applications (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Social Sciences"
